Total sats: 16978
Beginning main integration...
         7556259851 function calls (7555909580 primitive calls) in 23177.904 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 17401.012 17401.012 23177.908 23177.908 satEvol.py:1(<module>)
7334496000 2165.976    0.000 2165.976    0.000 KeplerTools.py:120(getXYZVVV)
   432000 1904.407    0.004 1904.407    0.004 _kdtree.py:608(query_pairs)
   432000 1217.588    0.003 1591.286    0.004 _kdtree.py:353(__init__)
     2118    0.003    0.000    0.008    0.000 copy.py:66(copy)
     3073    0.003    0.000    0.003    0.000 types.py:126(__new__)
9267/7574    0.003    0.000    0.006    0.000 artist.py:315(stale)
     2619    0.003    0.000    0.036    0.000 value.py:157(name)
      245    0.003    0.000    0.003    0.000 templates.py:1166(make_overload_attribute_template)
      332    0.003    0.000    0.211    0.001 postproc.py:71(run)
      120    0.003    0.000    0.024    0.000 bezier.py:283(axis_aligned_extrema)
     1980    0.003    0.000    0.007    0.000 numpy_support.py:410(choose_types)
     3023    0.003    0.000    0.003    0.000 {built-in method _functools.reduce}
      699    0.003    0.000    0.006    0.000 typeinfer.py:496(fold_arg_vars)
    29692    0.003    0.000    0.003    0.000 {method 'append' of 'array.array' objects}
      465    0.003    0.000    0.005    0.000 shapefile.py:1304(__shape)
 1372/330    0.003    0.000    2.484    0.008 compiler_lock.py:32(_acquire_compile_lock)
      117    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
    36348    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
     4078    0.003    0.000    0.058    0.000 module.py:220(__next__)
     1146    0.003    0.000    0.003    0.000 {built-in method shapely.lib.get_coordinates}
